0	12	a	configuration of elements
1	0	a	child wrapped bound into cradle
2	6	a	author uses disassembler
3	0	a	ridge uprises from surge
4	15	a	student association
5	0	a	complex peru producer
6	10	a	inflammation in part of stomach caused by results infection
7	7	a	people moving back into downtown
8	17	a	lawsonite contained in platinum crucible
9	7	a	solvent of ml beaker inside placed pipetted into flask
10	15	a	essays collected in volume
11	0	a	composer sunk into oblivion
12	1	a	citation explaining reasons
13	10	a	burst caused by pressure
14	6	a	networks moved into high definition broadcast
15	1	a	call remind about bill
16	6	a	virtuoso finds sophistication in instrument
17	4	a	factory products included trays
18	12	a	tree blossom
19	16	a	battalion of grenadiers
20	13	a	knowledge gained from recruits
21	16	a	stable of hounds
22	9	a	singer caused commotion
23	0	a	essays books remain pertinent to illuminating history
24	16	a	brace of grouse
25	0	a	dress made with blend
26	9	a	suicide is one of causes of death
27	1	a	article gives in music
28	1	a	meeting dedicated to rural history
29	11	a	timer of device
30	2	a	offer made in phone call
31	10	a	headaches from mold
32	3	a	country of family in rift healing rest laying founding father
33	7	a	stack loading into carton
34	11	a	plumbing in manor house
35	13	a	electricity transmit from systems
36	0	a	plan in buy ran into resistance
37	12	a	provinces divided into counties
38	9	a	stress is one of causes of divorce
39	6	a	newspapers swap with help of service
40	9	a	women caused was accident
41	17	a	transmitter discovered inside suite
42	16	a	chain of lagoons
43	13	a	student released from jail
44	10	a	calluses caused by by skin abnormality
45	6	a	adults use drugs
46	6	a	councilor proposed assessing through elicitation
47	10	a	meteor shower of action caused by comet
48	0	a	notes in appeared to statements
49	0	a	diamond colliers
50	10	a	radiation from bomb explosion
51	12	a	boat tiller
52	10	a	recurrence arose from radiation
53	10	a	scars arm on tattoo from stitches
54	16	a	knob of toads
55	1	a	discourse around participation
56	0	a	silver ring
57	1	a	debate about value
58	17	a	dress was in trunk
59	0	a	disagreement concerns causal part
60	7	a	feet moving into ball
61	17	a	box cutters were in box
62	16	a	wing of dragons
63	7	a	cowpea sealed in double bags
64	0	a	brucellosis found in cow
65	0	a	rout havoc of hosts
66	13	a	princess left island
67	1	a	story makes point
68	7	a	milk poured into pumpkin mixture
69	13	a	lawsuits ensued from fans
